Frequency - Plot 0	Phase - Plot 0	
499,939	-5,01261	
599,962	-5,76893	
599,964	-5,75052	
599,963	-5,64687	
599,962	-5,77441	
699,986	-6,54697	
699,988	-6,53747	
699,987	-6,53276	
800,011	-7,31076	
800,012	-7,29655	
800,011	-7,25372	
900,038	-8,0619	
900,038	-7,97142	
900,035	-8,00144	
989,851	222,405	
1000,06	-8,82186	
1000,06	-8,76541	
1000,06	-8,77269	
1100,09	-9,51142	
1100,09	-9,58386	
1100,09	-9,55491	
1199,93	-10,282	
1199,92	-10,298	
1199,93	-10,2084	
1299,95	-11,0229	
1299,95	-10,9108	
1299,95	-10,961	
1299,95	-10,9335	
1399,98	-11,5977	
1399,97	-11,6701	
1399,98	-11,5956	
1500	-12,4394	
1500	-12,3114	
1500	-12,3114	
1600,02	-13,0357	
1600,02	-13,0684	
1600,02	-13,1016	
1600,02	-13,0483	
1700,05	-13,9021	
1700,05	-13,838	
1700,05	-13,7421	
1800,07	-14,5267	
1800,07	-14,5169	
1800,07	-14,5636	
1900,1	-15,2227	
1900,1	-15,2633	
1900,1	-15,1265	
1900,1	-15,2054	
1999,94	-15,7923	
1999,94	-16,0019	
1999,94	-15,923	
2099,96	-16,4912	
2099,96	-16,489	
2099,96	-16,5991	
2199,99	-17,1974	
2199,99	-17,3233	
2199,99	-17,1831	
2199,99	-17,1935	
2300,01	-17,8831	
2300,01	-17,949	
2300,01	-17,7821	
2400,04	-18,551	
2400,04	-18,3953	
2400,04	-18,5076	
2500,06	-19,0829	
2500,06	-19,1241	
2500,06	-19,1106	
2500,06	-19,2475	
2600,09	-19,6657	
2600,09	-19,7566	
2600,09	-19,714	
2700,11	-20,4684	
2700,11	-20,3582	
2700,11	-20,3878	
2799,95	-21,0304	
2799,95	-20,9764	
2799,95	-20,9761	
2799,95	-21,0202	
2899,97	-21,5786	
2899,98	-21,5959	
2899,97	-21,509	
3000	-22,2132	
3000	-22,2606	
3000	-22,1248	
3100,02	-22,7459	
3100,02	-22,9321	
3100,02	-22,7405	
3100,02	-22,864	
3200,05	-23,4808	
3200,05	-23,485	
3200,05	-23,4756	
3300,07	-23,7689	
3300,07	-23,9714	
3300,07	-23,8885	
3400,1	-24,5107	
3400,1	-24,406	
3400,1	-24,5215	
3400,1	-24,4098	
3499,94	-24,9876	
3499,94	-24,9186	
3499,94	-24,9376	
3599,96	-25,4567	
3599,96	-25,5286	
3599,96	-25,4628	
3699,99	-26,0975	
3699,99	-26,1798	
3699,99	-26,063	
3699,99	-26,0414	
3800,01	-26,5602	
3800,01	-26,5091	
3800,01	-26,533	
3900,04	-26,9642	
3900,04	-26,9813	
3900,04	-27,1379	
4000,06	-27,5478	
4000,06	-27,4531	
4000,06	-27,4265	
4000,06	-27,4908	
4100,09	-28,0691	
4100,09	-28,0181	
4100,09	-28,0644	
4200,11	-28,5158	
4200,11	-28,49	
4200,11	-28,5087	
4299,95	-29,0372	
4299,95	-28,9094	
4299,95	-28,9839	
4299,95	-28,9626	
4399,97	-29,3681	
4399,97	-29,3262	
4399,97	-29,4044	
4500	-29,7927	
4500	-29,7927	
4500	-29,9149	
4600,02	-30,3369	
4600,02	-30,2169	
4600,02	-30,1162	
4600,02	-30,2125	
4700,05	-30,5747	
4700,05	-30,7348	
4700,05	-30,595	
4800,07	-31,1805	
4800,07	-31,0121	
4800,07	-31,0149	
4900,1	-31,5049	
4900,1	-31,5679	
4900,1	-31,5587	
4901,71	-34,7517	
5000,12	-31,9364	
5000,12	-31,8946	
5000,12	-31,9201	
5099,96	-32,3426	
5099,96	-32,3419	
5099,96	-32,3429	
5199,99	-32,635	
5199,99	-32,794	
5199,99	-32,693	
5199,99	-32,6946	
5300,01	-33,1219	
5300,01	-32,9788	
5300,01	-33,0206	
5400,04	-33,3002	
5400,04	-33,3856	
5400,03	-33,4429	
5500,06	-33,6779	
5500,06	-33,6594	
5500,06	-33,7399	
5500,06	-33,6904	
5600,09	-34,1026	
5600,09	-33,9693	
5600,09	-34,0884	
5700,11	-34,5299	
5700,11	-34,3454	
5700,11	-34,5438	
5800,13	-34,8402	
5800,14	-34,7876	
5800,13	-34,7282	
