Frequency - Plot 0	Phase - Plot 0	
499,936	-0,770002	
599,965	-0,710897	
599,965	-0,627319	
599,96	-0,661765	
599,962	-0,709456	
699,987	-0,583138	
699,99	-0,625246	
699,989	-0,597397	
800,012	-0,481865	
800,01	-0,595651	
800,015	-0,503684	
900,034	-0,422098	
900,039	-0,502111	
900,036	-0,50618	
900,036	-0,456406	
1000,06	-0,39423	
1000,06	-0,329089	
1000,06	-0,388815	
1100,09	-0,254888	
1100,08	-0,227594	
1100,08	-0,311089	
1199,93	-0,159814	
1199,92	-0,243089	
1199,93	-0,166453	
1199,92	-0,18114	
1299,95	-0,0270099	
1299,95	-0,0995215	
1299,95	-0,0539584	
1399,97	0,00313841	
1399,98	-0,0484824	
1399,98	-0,018029	
1500	0,0654704	
1500	0,0649354	
1500	0,00309472	
1500	0,0165052	
1600,02	0,156019	
1600,02	0,191622	
1600,02	0,1582	
1700,05	0,208205	
1700,05	0,271496	
1700,05	0,293133	
1800,08	0,348249	
1800,07	0,283001	
1800,07	0,440192	
1800,07	0,307042	
1900,1	0,349535	
1900,1	0,410838	
1900,1	0,40335	
1999,93	0,550942	
1999,94	0,599973	
1999,93	0,500168	
2099,96	0,622009	
2099,96	0,59097	
2099,96	0,774506	
2099,96	0,589305	
2199,99	0,713047	
2199,99	0,625892	
2199,99	0,806517	
2300,01	0,84715	
2300,01	0,91382	
2300,01	0,771373	
2400,04	0,885276	
2400,03	0,976737	
2400,03	0,85894	
2400,04	0,888042	
2500,06	0,939211	
2500,06	0,959637	
2500,07	0,915141	
2600,09	1,15915	
2600,09	1,01794	
2600,09	1,06434	
2700,11	1,14563	
2700,11	1,09981	
2700,11	1,07164	
2700,11	1,15679	
2799,95	1,24723	
2799,95	1,19787	
2799,95	1,25508	
2899,97	1,28429	
2899,97	1,19038	
2899,97	1,37719	
3000	1,49693	
3000	1,34523	
3000	1,37543	
3000	1,47423	
3100,03	1,51343	
3100,02	1,56755	
3100,02	1,60857	
3200,05	1,53257	
3200,05	1,61955	
3200,05	1,58177	
3300,07	1,66113	
3300,07	1,85978	
3300,08	1,70433	
3300,07	1,71755	
3400,1	1,89555	
3400,1	1,75354	
3400,1	1,8523	
3499,94	1,88168	
3499,94	1,89581	
3499,94	1,92649	
3599,96	1,88022	
3599,96	1,94397	
3599,96	1,95348	
3599,96	1,85406	
3699,99	1,96458	
3699,99	2,00546	
3699,99	2,16394	
3800,01	2,17052	
3800,01	2,13013	
3800,01	2,00838	
3900,04	2,19419	
3900,03	2,10358	
3900,04	2,28939	
3900,04	2,14824	
4000,06	2,3181	
4000,06	2,22136	
4000,06	2,29495	
4100,09	2,36669	
4100,09	2,3947	
4100,08	2,39998	
4200,11	2,44129	
4200,11	2,44996	
4200,11	2,4266	
4200,11	2,3619	
4299,95	2,55455	
4299,95	2,51789	
4299,95	2,56352	
4399,98	2,58548	
4399,98	2,67157	
4399,97	2,61093	
4500	2,73219	
4500	2,73512	
4500	2,68851	
4500	2,82796	
4600,02	2,73455	
4600,02	2,74165	
4600,02	2,88526	
4700,05	2,9736	
4700,05	2,85837	
4700,05	2,89629	
4800,08	3,11825	
4800,08	2,96558	
4800,07	3,06463	
4800,08	2,95822	
4900,1	3,10447	
4900,1	2,90984	
4900,1	3,06741	
5000,12	3,20633	
5000,12	3,25897	
5000,12	3,18543	
5099,96	3,24898	
5099,96	3,35183	
5099,96	3,35098	
5100,01	2,98169	
5199,99	3,31627	
5199,99	3,24824	
5199,99	3,29882	
5300,01	3,35581	
5300,01	3,35812	
5300,01	3,41777	
5400,04	3,50207	
5400,03	3,61484	
5400,03	3,54555	
5400,03	3,45924	
5500,06	3,57984	
5500,06	3,60018	
5500,06	3,52747	
5600,08	3,62765	
5600,08	3,65642	
5600,09	3,7286	
5700,11	3,84425	
5700,11	3,70305	
5700,11	3,8571	
5800,14	-4,76257	
5800,13	3,82538	
5800,14	3,9003	
5800,13	3,93745	
5899,97	3,96713	
5899,98	4,0454	
5899,97	3,93622	
6000	4,04712	
6000	4,16688	
6000	4,07274	
6097,63	-106,715	
6100,02	4,19994	
6100,03	4,14231	
6100,02	4,10512	
6200,05	4,2509	
6200,05	4,22996	
6200,05	4,20596	
6300,07	4,28504	
6300,07	4,26759	
6300,07	4,28701	
6400,09	4,38353	
6400,1	4,5248	
6400,1	4,37318	
6400,1	4,40069	
6500,12	4,51685	
6500,12	4,41291	
6500,12	4,51666	
6599,96	4,47911	
6599,96	4,59101	
6599,96	4,58265	
6699,98	4,73458	
6699,98	4,55337	
6699,99	4,72657	
6699,99	4,73149	
6800,01	4,70007	
6800,01	4,87452	
6800,01	4,64877	
6900,03	4,8662	
6900,03	4,80349	
6900,04	4,80258	
7000,06	5,02096	
7000,06	4,9836	
7000,06	4,94121	
7000,06	4,93655	
7100,09	5,08412	
7100,08	4,92223	
7100,08	4,9513	
7200,11	5,12971	
7200,11	5,11748	
7200,11	5,02417	
7300,13	5,04422	
7300,14	5,00173	
7300,14	5,09402	
7300,14	5,1029	
7399,97	5,17722	
7399,97	5,30147	
7399,97	5,2799	
7500	5,26059	
7500	5,3299	
7500	5,26501	
7600,02	5,42136	
7600,02	5,4317	
7600,02	5,25044	
7600,02	5,39691	
7700,05	5,39494	
7700,05	5,45564	
7700,05	5,5174	
7800,07	5,5797	
7800,07	5,55504	
7800,07	5,75254	
7900,1	5,66923	
7900,1	5,60463	
7900,1	5,67621	
7900,1	5,61326	
8000,12	5,691	
8000,13	5,87671	
8000,12	5,71461	
8100,15	5,96111	
8100,15	5,7704	
8100,15	5,83009	
8199,99	6,07969	
8199,98	5,99411	
8199,99	5,73922	
8199,98	5,92294	
8300,01	5,99336	
8300,01	5,96615	
8300,01	6,05014	
8400,03	6,16943	
8400,03	6,1999	
8400,04	6,12927	
8500,06	6,31859	
8500,06	6,23066	
8500,06	6,21923	
8500,06	6,26224	
8600,08	6,3653	
8600,08	6,39989	
8600,08	6,29392	
8700,11	6,4217	
8700,11	6,37713	
8700,11	6,3053	
8800,14	6,43833	
8800,14	6,49855	
8800,13	6,52475	
8800,13	6,53553	
8900,16	6,57942	
8900,16	6,61947	
8900,16	6,51485	
9000	6,70195	
9000	6,5849	
9000	6,72595	
9100,02	6,73048	
9100,03	6,72816	
9100,02	6,78567	
9100,02	6,75842	
9200,05	6,82931	
9200,05	6,77404	
9200,05	6,80091	
9300,07	6,96062	
9300,07	6,90538	
9300,07	6,87115	
9400,1	7,05373	
9400,1	6,928	
9400,1	7,01173	
9400,1	6,86945	
9500,12	7,00369	
9500,12	7,1697	
9500,12	7,00664	
9600,15	7,17446	
9600,15	7,15714	
9600,15	7,10187	
9699,98	7,24695	
9699,98	7,2573	
9699,98	7,22785	
9699,98	7,26234	
9800,01	7,29504	
9800,01	7,30641	
9800,01	7,26763	
9900,03	7,42125	
9900,04	7,47429	
9900,04	7,4096	
10000,1	7,56393	
10000,1	7,51546	
10000,1	7,47948	
10000,1	7,46061	
10100,1	7,72906	
10100,1	7,65992	
10100,1	7,66653	
10200,1	7,65899	
10200,1	7,62303	
10200,1	7,60474	
10300,1	7,82342	
10300,1	7,67487	
10300,1	7,70373	
10300,1	7,76611	
10400,2	7,78444	
10400,2	7,91313	
10400,2	7,88937	
10500	7,90305	
10500	7,99814	
10500	7,82435	
10600	8,0239	
10600	8,02963	
10600	8,1777	
10600	8,0246	
10700	8,11248	
10700	8,17359	
10700	8,04773	
10800,1	8,1801	
10800,1	8,15341	
10800,1	8,20712	
10900,1	8,31549	
10900,1	8,31676	
10900,1	8,38091	
10900,1	8,18967	
11000,1	8,30525	
11000,1	8,44115	
11000,1	8,31187	
11100,1	8,64443	
11100,1	8,35894	
11100,1	8,36347	
11200,2	8,45386	
11200,2	8,59339	
11200,2	8,37673	
11200,2	8,75862	
11300	8,5113	
11300	8,56713	
11300	8,56119	
11400	8,66085	
11400	8,71507	
11400	8,63091	
11500,1	8,77956	
11500,1	8,73076	
11500,1	8,71138	
11500,1	8,94718	
11600,1	8,85769	
11600,1	8,74054	
11600,1	8,89042	
11700,1	8,85895	
11700,1	8,92052	
11700,1	8,91419	
11800,1	8,97356	
11800,1	9,02735	
11800,1	9,16946	
11800,1	9,08688	
11900,2	9,11586	
11900,2	9,06496	
11900,2	9,15192	
12000,2	9,19554	
12000,2	9,00929	
12000,2	9,44113	
12100	9,22592	
12100	9,34681	
12100	9,24239	
12100	9,41158	
12200	9,39366	
12200	9,40138	
12200	9,56308	
12300,1	9,55581	
12300,1	9,51608	
12300,1	9,47916	
12400,1	9,53078	
12400,1	9,49543	
12400,1	9,61043	
12400,1	9,49179	
12500,1	9,7611	
12500,1	9,66514	
12500,1	9,56633	
12600,1	9,78815	
12600,1	9,65347	
12600,1	9,67154	
12700,2	9,87653	
12700,2	9,98027	
12700,2	9,72175	
12700,2	9,8386	
12800	9,73194	
12800	10,0249	
12800	9,98459	
12900	10,1804	
12900	9,99876	
12900	10,1219	
13000,1	10,104	
13000,1	10,2164	
13000,1	9,91253	
13000,1	10,1699	
13100,1	10,1547	
13100,1	10,0667	
13100,1	10,1606	
13200,1	10,3789	
13200,1	10,1891	
13200,1	10,273	
13300,1	10,2657	
13300,1	10,2308	
13300,1	10,2604	
13300,1	10,4402	
13400,2	10,413	
13400,2	10,4859	
13400,2	10,4471	
13500,2	10,6373	
13500,2	10,4696	
13500,2	10,4561	
13600	10,6731	
13600	10,7006	
13600	10,6136	
13600	10,747	
13700	10,5403	
13700	10,6051	
13700	10,6866	
13800,1	10,7606	
13800,1	10,7448	
13800,1	10,6914	
13900,1	10,7942	
13900,1	10,7774	
13900,1	10,9508	
13900,1	10,8195	
14000,1	10,8784	
14000,1	11,0463	
14000,1	10,9064	
14100,1	11,2102	
14100,1	11,0674	
14100,1	10,9416	
14200,2	11,2239	
14200,2	11,1638	
14200,2	11,194	
14200,2	11,0645	
14300,2	11,244	
14300,2	11,374	
14300,2	11,2417	
14400	11,3882	
14400	11,3561	
14400	11,4462	
14500,1	11,3057	
