Frequency - Plot 0	Phase - Plot 0	
499,937	-1,0784	
599,965	-1,12433	
599,961	-1,1286	
599,964	-1,10771	
699,988	-0,99945	
699,988	-1,13452	
699,986	-1,09046	
800,014	-1,09735	
800,013	-1,10933	
800,013	-1,06641	
813,774	-36,6661	
900,032	-1,08564	
900,034	-1,06465	
900,036	-1,08675	
1000,06	-1,18921	
1000,06	-1,08921	
1000,06	-1,05557	
1100,09	-1,07604	
1100,08	-1,08605	
1100,09	-1,11555	
1100,09	-1,06344	
1199,92	-1,07276	
1199,92	-0,966548	
1199,93	-1,00071	
1299,95	-1,05417	
1299,95	-0,98077	
1299,95	-1,02304	
1399,97	-0,946617	
1399,97	-1,04504	
1399,98	-1,05416	
1401,01	-3,63231	
1500	-1,00682	
1500	-1,05051	
1500	-0,898136	
1600,02	-0,901316	
1600,02	-1,03984	
1600,02	-1,04188	
1700,05	-1,06753	
1700,05	-0,900193	
1700,05	-0,957876	
1771,72	-114,308	
1800,07	-0,885001	
1800,08	-1,02082	
1800,07	-1,04826	
1900,1	-0,933239	
1900,1	-1,05048	
1900,1	-0,964943	
1999,94	-1,00285	
1999,94	-0,989653	
1999,94	-1,06034	
2084,59	-118,97	
2099,96	-1,0003	
2099,96	-1,08091	
2099,97	-0,871492	
2199,99	-1,00524	
2199,99	-0,816912	
2199,99	-1,07258	
2300,01	-0,965249	
2300,01	-0,810138	
2300,02	-0,906259	
2400,04	-0,887797	
2400,04	-0,925984	
2400,04	-0,954077	
2400,04	-0,98641	
2500,06	-0,853412	
2500,06	-0,957285	
2500,06	-0,894414	
2600,09	-0,937254	
2600,09	-1,03925	
2600,09	-0,80919	
2700,11	-0,855278	
2700,11	-0,890093	
2700,11	-0,92298	
2700,11	-0,939785	
2799,95	-0,982638	
2799,95	-0,882968	
2799,95	-0,879471	
2899,97	-0,977205	
2899,98	-0,953946	
2899,97	-0,829926	
3000	-0,801368	
3000	-0,826309	
3000	-0,84843	
3000	-0,804523	
3100,02	-0,897182	
3100,02	-0,942882	
3100,02	-0,764187	
3200,05	-0,992275	
3200,05	-0,82911	
3200,05	-0,839639	
3300,07	-0,792843	
3300,07	-0,886473	
3300,08	-0,812724	
3300,07	-0,816251	
3400,1	-0,790551	
3400,1	-0,7665	
3400,1	-0,858415	
3499,94	-0,822176	
3499,94	-0,916872	
3499,94	-0,780127	
3599,97	-0,886801	
3599,96	-0,712369	
3599,96	-0,90439	
3599,96	-0,754134	
3699,98	-0,880981	
3699,99	-0,698084	
3699,99	-0,772225	
3800,01	-0,837559	
3800,01	-0,850399	
3800,01	-0,77736	
3900,03	-0,744713	
3900,04	-0,75206	
3900,04	-0,894785	
3900,04	-0,805082	
4000,06	-0,741989	
4000,06	-0,718716	
4000,06	-0,807436	
4100,08	-0,663721	
4100,08	-0,762803	
4100,08	-0,705205	
4200,11	-0,799209	
4200,12	-0,673019	
4200,11	-0,739824	
4200,11	-0,767238	
4299,95	-0,881928	
