Frequency - Plot 0	Phase - Plot 0	
599,976	80,9807	
599,94	81,1229	
699,978	80,3361	
700,002	80,305	
699,979	80,3932	
800,03	79,5208	
800,016	79,5664	
800,02	79,5593	
900,026	78,9169	
900,04	78,9745	
900,044	78,8477	
900,043	78,8861	
1000,09	78,0464	
1000,06	78,1225	
1000,07	78,0829	
1100,07	77,352	
1100,06	77,5207	
1100,08	77,3512	
1199,91	76,5768	
1199,9	76,7675	
1199,91	76,6751	
1199,91	76,6164	
1299,94	75,8314	
1299,94	75,9573	
1299,94	75,9745	
1399,97	75,1011	
1399,97	75,2769	
1399,96	75,0727	
1500,01	74,3618	
1499,99	74,3338	
1499,99	74,4517	
1500	74,2824	
1600,03	73,6582	
1600,03	73,5378	
1600,05	73,5402	
1700,05	72,7813	
1700,05	72,74	
1700,04	72,7682	
1800,07	72,2066	
1800,09	72,0157	
1800,07	72,0798	
1800,08	72,0689	
1900,1	71,2999	
1900,1	71,3978	
1900,1	71,3647	
1999,93	70,6257	
1999,93	70,6065	
1999,93	70,6803	
2099,98	69,9395	
2099,96	69,9784	
2099,96	69,9548	
2099,96	69,965	
2199,99	69,1636	
2199,99	69,2694	
2199,99	69,258	
2300,02	68,5181	
2300,01	68,416	
2300,01	68,4596	
2400,04	67,8261	
2400,04	67,818	
2400,04	67,75	
2400,03	67,7681	
2500,07	67,0183	
2500,06	67,1189	
2500,06	67,1365	
2600,09	66,4622	
2600,09	66,4799	
2600,09	66,4754	
2700,11	65,812	
2700,11	65,6334	
2700,11	65,6542	
2700,11	65,6465	
2799,95	65,0721	
2799,95	65,1842	
2799,95	65,1333	
2899,98	64,5114	
2899,97	64,45	
2899,98	64,4823	
3000	63,8532	
3000	63,787	
3000	63,7868	
3000	63,847	
3100,02	63,1356	
3100,03	63,0894	
3100,03	63,0991	
3200,05	62,4927	
3200,05	62,6012	
3200,04	62,5078	
3300,07	61,945	
3300,07	61,9	
3300,08	61,9711	
3300,07	62,0264	
3400,1	61,2131	
3400,09	61,4192	
3400,1	61,4032	
3499,94	60,6988	
3499,94	60,7929	
3499,93	60,67	
3599,96	60,1446	
3599,96	60,0781	
3599,96	60,1817	
3599,96	60,1245	
3699,99	59,548	
3699,99	59,5672	
3699,98	59,6111	
3800,01	59,103	
3800,01	59,0185	
3800,01	59,1057	
3900,04	58,451	
3900,04	58,2357	
3900,05	58,5502	
3900,04	58,514	
4000,06	57,9646	
4000,06	57,9107	
4000,06	57,9453	
4100,09	57,3538	
4100,08	57,3664	
4100,09	57,2697	
4200,11	56,9669	
4200,11	56,9264	
4200,11	56,7724	
4200,11	56,958	
4299,94	56,3485	
4299,95	56,2321	
4299,95	56,3554	
4399,97	55,8976	
4399,97	55,7979	
4399,97	56,0347	
4500	55,3573	
4500	55,5428	
4500	55,3167	
4499,99	55,2411	
4600,02	54,7252	
4600,02	54,7641	
4600,03	54,8651	
4700,05	54,3923	
4700,04	54,3899	
4700,05	54,4201	
4800,07	53,8584	
4800,07	53,9968	
4800,08	53,9891	
4800,08	53,8572	
4900,1	53,5185	
4900,1	53,5183	
4900,1	53,5301	
5000,12	53,01	
5000,12	52,9486	
5000,12	52,9539	
5099,97	52,5671	
5099,96	52,6217	
5099,96	52,7168	
5101,27	48,2871	
5199,98	52,1121	
5199,99	52,1304	
5199,99	52,1577	
5300,01	51,7322	
5300,01	51,7328	
5300,01	51,7611	
5400,03	51,2563	
5400,04	51,4067	
5400,03	51,2784	
5500,06	50,7999	
5500,07	50,7636	
5500,06	50,8519	
5500,06	50,8307	
5600,09	50,5368	
5600,08	50,4935	
5600,08	50,4499	
5700,11	49,9753	
5700,11	50,15	
5700,11	50,0542	
5700,11	50,1832	
5800,14	49,7529	
5800,14	49,6487	
5800,13	49,6162	
5899,97	49,3089	
5899,97	49,2657	
5899,97	49,4013	
6000	49,078	
5999,99	48,8203	
6000	48,9459	
6000	49,0374	
6100,02	48,5575	
6100,03	48,6647	
6100,02	48,6635	
6200,05	48,2485	
6200,05	48,3408	
6200,05	48,2294	
6300,07	47,8891	
6300,08	47,8146	
6300,07	47,8882	
6400,1	37,3414	
6400,1	47,4673	
6400,09	47,5664	
6400,09	47,536	
6500,12	47,2345	
6500,12	47,1298	
6500,12	47,3151	
6599,96	46,9276	
6599,96	46,9664	
6599,96	46,8922	
6699,98	46,5155	
6699,99	46,5435	
6699,99	46,598	
6699,98	46,7566	
6800,01	46,2519	
6800,01	46,3045	
6800,01	46,2744	
6900,04	45,9865	
6900,04	45,9966	
6900,03	46,0187	
7000,06	45,7212	
7000,06	45,6535	
7000,06	45,7814	
7000,06	45,6285	
7100,08	45,4795	
7100,09	45,4007	
7100,08	45,474	
7200,11	45,0881	
7200,11	44,9924	
7200,11	45,093	
7300,13	44,7017	
7300,14	44,8626	
7300,14	44,922	
7300,14	44,8612	
7399,97	44,5673	
7399,97	44,4427	
7399,97	44,5771	
7500	44,2814	
7500	44,2587	
7500	44,2447	
7600,02	44,0747	
7600,02	44,0055	
7600,02	44,0148	
7600,02	43,9379	
7700,04	43,6744	
7700,05	43,665	
7700,05	43,7697	
7800,07	43,5811	
7800,07	43,4416	
7800,08	43,4343	
7900,1	43,245	
7900,09	43,1459	
7900,1	43,2213	
7900,1	43,2132	
8000,12	42,9551	
8000,12	43,0609	
8000,12	43,0402	
8100,15	42,7587	
8100,15	42,8651	
8100,15	42,7379	
8199,98	42,5611	
8199,99	42,4701	
8199,98	42,6545	
8199,99	42,4996	
8300,01	42,3428	
8300,01	42,313	
8300,01	42,3446	
8400,04	41,9728	
8400,04	42,0753	
8400,04	42,0393	
8500,07	41,8304	
8500,06	41,7765	
8500,06	41,9085	
8500,07	41,9046	
8600,09	41,6351	
8600,09	41,6238	
8600,08	41,5079	
