Frequency - Plot 0	Voltage(V) - Plot 0	
5050,04	2,193	
5050,04	2,19288	
5050,04	2,1929	
5075	2,19302	
5075	2,19289	
5075	2,19296	
5099,96	2,1931	
5099,96	2,19302	
5099,96	2,19295	
5125,11	2,19296	
5125,1	2,19301	
5125,1	2,19293	
5150,07	2,19308	
5150,07	2,19294	
5150,07	2,19304	
5150,07	2,19315	
5175,03	2,19307	
5175,03	2,19285	
5175,03	2,19315	
5199,98	2,19298	
5199,99	2,19301	
5199,99	2,19301	
5225,13	2,19305	
5225,13	2,19299	
5225,13	2,19302	
5250,09	2,19305	
5250,09	2,19325	
5250,09	2,19327	
5275,05	2,19312	
5275,05	2,193	
5275,05	2,19316	
5275,05	2,19315	
5300,01	2,1931	
5300,01	2,19315	
5300,01	2,19305	
5324,97	2,19306	
5324,97	2,19296	
5324,97	2,19325	
5350,11	2,19328	
5350,12	2,19327	
5350,12	2,19331	
5375,07	2,19329	
5375,08	2,19326	
5375,08	2,19305	
5400,04	2,19319	
5400,04	2,19303	
5400,04	2,19304	
5400,04	2,19309	
5425	2,19318	
5424,99	2,19307	
5425	2,19329	
5449,96	2,19296	
5449,95	2,19328	
5449,96	2,19319	
5475,1	2,19331	
5475,1	2,19324	
5475,1	2,19303	
5500,06	2,19306	
5500,06	2,19312	
5500,06	2,19329	
5525,02	2,19336	
5525,02	2,19312	
5525,02	2,19303	
5525,02	2,1931	
5549,98	2,19315	
5549,98	2,19317	
5549,98	2,19332	
5575,13	2,19322	
5575,12	2,19319	
5575,13	2,19318	
5600,08	2,19337	
5600,09	2,19327	
5600,08	2,19316	
5625,04	2,19312	
5625,05	2,19312	
5625,04	2,19337	
5641,53	2,18234	
5650	2,19299	
5650	2,19306	
5650,01	2,19301	
5674,96	2,19316	
5674,96	2,19313	
5674,96	2,19313	
5700,11	2,19311	
5700,11	2,19321	
5700,11	2,19314	
5725,07	2,19327	
5725,07	2,19316	
5725,07	2,19345	
5750,03	2,19311	
5750,03	2,19341	
5750,03	2,19306	
5750,03	2,19349	
5774,99	2,19352	
5774,99	2,19333	
5774,99	2,19327	
5800,13	2,19331	
5800,13	2,19332	
5800,14	2,19333	
5825,1	2,19332	
5825,09	2,19347	
5825,09	2,19327	
5850,05	2,19335	
5850,06	2,19325	
5850,05	2,1934	
5875,01	2,1935	
5875,01	2,19322	
5875,01	2,19334	
5875,01	2,19333	
5899,97	2,19329	
5899,97	2,19351	
5899,98	2,19316	
5925,12	2,19327	
5925,12	2,19359	
5925,12	2,19346	
5950,08	2,19347	
5950,08	2,19342	
5950,08	2,19338	
5975,04	2,19348	
5975,04	2,19351	
5975,04	2,19333	
5975,04	2,1934	
6000	2,19335	
6000	2,19326	
6000	2,19338	
6024,96	2,19347	
6024,96	2,19366	
6024,96	2,19335	
6050,1	2,19345	
6050,1	2,19344	
6050,1	2,19355	
6075,06	2,19352	
6075,06	2,19356	
6075,06	2,19329	
6100,02	2,19347	
6100,02	2,1935	
6100,02	2,19356	
6101,07	2,19034	
6124,98	2,1936	
6124,98	2,19374	
6124,98	2,19367	
6150,12	2,19367	
6150,13	2,19358	
6150,13	2,19362	
6175,09	2,19353	
6175,09	2,19354	
6175,09	2,19352	
6200,05	2,19339	
6200,05	2,19341	
6200,05	2,1937	
6225,01	2,19364	
6225,01	2,19351	
6225,01	2,19338	
6225,01	2,19357	
6249,97	2,19359	
6249,96	2,19333	
6249,97	2,19356	
6275,11	2,19357	
6275,11	2,19344	
6275,11	2,19374	
6300,08	2,19369	
6300,07	2,19371	
6300,07	2,19349	
6325,03	2,19351	
6325,03	2,19365	
6325,03	2,19368	
6349,99	2,1935	
6349,99	2,1936	
6349,99	2,19367	
6349,99	2,19375	
6375,14	2,19371	
6375,14	2,1936	
6375,14	2,19372	
6400,1	2,19382	
6400,1	2,19376	
6400,09	2,19361	
6425,06	2,19374	
6425,06	2,19388	
6425,05	2,19399	
6450,02	2,19387	
6450,02	2,19391	
6450,02	2,19372	
6474,98	2,19358	
6474,98	2,19387	
6474,98	2,19363	
6474,98	2,19359	
6500,12	2,19375	
6500,12	2,19377	
6500,12	2,19381	
6525,08	2,19396	
6525,08	2,1938	
6525,08	2,19394	
6550,04	2,19377	
6550,04	2,19366	
6550,04	2,19373	
6575	2,19374	
6575	2,19379	
6575	2,19365	
6599,96	2,19357	
6599,96	2,1937	
6599,96	2,19379	
6599,96	2,19371	
6625,11	2,19366	
6625,11	2,19365	
6625,11	2,194	
6650,07	2,19375	
6650,07	2,19389	
6650,07	2,1936	
6675,02	2,19391	
6675,03	2,19393	
6675,02	2,19389	
6699,99	2,19377	
6699,98	2,19362	
6699,98	2,19355	
6725,13	2,19401	
6725,14	2,19392	
6725,13	2,19406	
6725,13	2,19366	
6750,09	2,19389	
6750,09	2,19373	
6750,09	2,19373	
6775,05	2,19373	
6775,05	2,19375	
6775,05	2,19389	
6800,01	2,19382	
6800,01	2,19359	
6800,01	2,19367	
6824,97	2,19376	
6824,97	2,19359	
6824,97	2,19365	
6824,97	2,19388	
