Frequency - Plot 0	Voltage(V) - Plot 0	
499,937	1,91978	
499,937	1,91994	
599,962	1,9166	
599,963	1,91672	
599,962	1,9168	
699,986	1,91322	
699,987	1,91329	
699,988	1,91323	
699,988	1,91314	
800,012	1,90893	
800,013	1,909	
800,012	1,90892	
900,037	1,90445	
900,037	1,90468	
900,036	1,90468	
1000,06	1,89964	
1000,06	1,89953	
1000,06	1,89961	
1100,09	1,89411	
1100,09	1,89416	
1100,09	1,89411	
1199,92	1,88832	
1199,93	1,88844	
1199,92	1,88847	
1199,93	1,8885	
1299,95	1,8821	
1299,95	1,88214	
1299,95	1,88201	
1399,98	1,8753	
1399,97	1,87525	
1399,98	1,87545	
1500	1,86832	
1500	1,86822	
1500	1,86853	
1600,02	1,86074	
1600,02	1,86077	
1600,03	1,86087	
1700,05	1,85294	
1700,05	1,85299	
1700,05	1,8531	
1700,05	1,85337	
1800,07	1,84483	
1800,07	1,8448	
1800,07	1,84485	
1900,1	1,83639	
1900,1	1,8364	
1900,1	1,83642	
1999,94	1,82773	
1999,94	1,82741	
1999,94	1,82743	
2099,96	1,81827	
2099,96	1,81836	
2099,96	1,81858	
2199,99	1,80893	
2199,99	1,80892	
2199,99	1,80896	
2199,99	1,80892	
2300,01	1,79942	
2300,01	1,79929	
2300,01	1,79928	
2400,04	1,78935	
2400,04	1,78935	
2400,04	1,78939	
2500,06	1,77922	
2500,06	1,77925	
2500,06	1,77917	
2600,09	1,76884	
2600,09	1,76884	
2600,09	1,76896	
2600,93	1,76863	
2700,11	1,75829	
2700,11	1,75824	
2700,11	1,7583	
2799,95	1,74761	
2799,95	1,7477	
2799,95	1,7475	
2899,97	1,73664	
2899,97	1,73663	
2899,97	1,73654	
3000	1,72543	
3000	1,72552	
3000	1,72551	
3100,02	1,71433	
3100,02	1,71424	
3100,02	1,71429	
3100,02	1,71422	
3200,05	1,70283	
3200,05	1,70288	
3200,05	1,70292	
3300,07	1,69139	
3300,07	1,69147	
3300,07	1,69159	
3400,1	1,67999	
3400,1	1,67999	
3400,1	1,68003	
3499,94	1,66827	
3499,94	1,6682	
3499,94	1,66842	
3599,96	1,65668	
3599,96	1,65673	
3599,96	1,65649	
3599,96	1,65652	
3699,98	1,64476	
3699,99	1,64482	
3699,99	1,64491	
3800,01	1,63293	
3800,01	1,63315	
3800,01	1,63301	
3900,04	1,621	
3900,03	1,62108	
3900,04	1,62091	
4000,06	1,60895	
4000,06	1,60909	
4000,06	1,60902	
4100,09	1,59705	
4100,08	1,59701	
4100,09	1,5971	
4100,08	1,59707	
4200,11	1,5852	
4200,11	1,58508	
4200,11	1,58499	
4299,95	1,57298	
4299,95	1,57318	
4299,95	1,57328	
4399,97	1,56119	
4399,97	1,56118	
4399,97	1,56118	
4500	1,5491	
4500	1,54929	
4500	1,54929	
4500,07	1,54932	
4600,02	1,53715	
4600,02	1,53724	
4600,02	1,53721	
4700,05	1,52531	
4700,05	1,52526	
4700,05	1,52527	
4800,07	1,51342	
4800,07	1,51357	
4800,07	1,51343	
4900,1	1,50158	
4900,1	1,50159	
4900,1	1,50156	
5000,12	1,48982	
5000,12	1,48977	
5000,12	1,48978	
5000,12	1,4899	
5099,96	1,47796	
5099,96	1,47807	
5099,96	1,47804	
5199,98	1,46628	
5199,99	1,46631	
5199,98	1,46633	
5300,01	1,45478	
5300,01	1,45483	
5300,01	1,4547	
5400,03	1,44311	
5400,04	1,4431	
5400,03	1,44316	
5500,06	1,43166	
5500,06	1,43166	
5500,06	1,43165	
5500,06	1,43173	
5600,08	1,42018	
5600,09	1,42023	
5600,09	1,42025	
5700,11	1,40877	
5700,11	1,40878	
5700,11	1,40883	
5800,13	1,39747	
5800,13	1,39762	
5800,13	1,39755	
5899,97	1,38632	
5899,97	1,38631	
5899,97	1,38652	
6000	1,37528	
6000	1,37527	
6000	1,37531	
6000	1,37528	
6100,02	1,36425	
6100,02	1,36429	
6100,02	1,36434	
6200,05	1,35336	
6200,05	1,35327	
6200,05	1,35328	
6300,07	1,34245	
6300,07	1,3424	
6300,07	1,34247	
6400,1	1,33163	
6400,1	1,33165	
6400,1	1,33185	
6500,12	1,32103	
6500,12	1,32121	
6500,12	1,3212	
6500,12	1,3212	
6599,96	1,31048	
6599,96	1,31059	
6599,96	1,31067	
6699,99	1,30009	
6699,98	1,3002	
6699,98	1,30005	
6800,01	1,28967	
6800,01	1,28977	
6800,01	1,28982	
6900,03	1,27947	
6900,03	1,27954	
6900,03	1,2795	
6988,78	1,23249	
7000,06	1,26926	
7000,06	1,26925	
7000,06	1,26938	
7100,08	1,25914	
7100,08	1,25916	
7100,08	1,25923	
7200,11	1,24918	
7200,11	1,24925	
7200,11	1,24929	
7300,13	1,23922	
7300,13	1,23929	
7300,13	1,23931	
7399,97	1,22953	
7399,97	1,22962	
7399,97	1,22955	
7399,97	1,22964	
7500	1,21982	
7500	1,21992	
7500	1,21995	
7600,02	1,21026	
7600,02	1,21035	
7600,02	1,21037	
7700,05	1,20079	
7700,05	1,20099	
7700,05	1,20094	
7800,07	1,19153	
7800,07	1,19152	
7800,07	1,19143	
7900,1	1,18217	
7900,1	1,18232	
7900,1	1,18229	
7900,09	1,18231	
8000,12	1,17303	
8000,12	1,17308	
8000,12	1,173	
8100,15	1,16394	
8100,15	1,16398	
8100,15	1,16405	
8199,98	1,15501	
8199,98	1,15501	
8199,99	1,15506	
8300,01	1,14627	
8300,01	1,14618	
8300,01	1,14627	
8379,71	1,09588	
8400,03	1,1375	
8400,03	1,13746	
8400,03	1,13742	
8500,06	1,12863	
8500,06	1,12867	
8500,06	1,12872	
8600,08	1,1201	
8600,08	1,12025	
8600,08	1,12024	
8700,11	1,11174	
8700,11	1,11181	
8700,11	1,11174	
8800,13	1,10339	
8800,13	1,1034	
8800,13	1,1034	
8800,13	1,10342	
8900,16	1,09515	
8900,16	1,09504	
8900,16	1,0951	
9000	1,0869	
9000	1,08692	
9000	1,08696	
9100,02	1,07885	
9100,02	1,07878	
9100,02	1,07892	
9200,05	1,07083	
9200,05	1,07084	
9200,05	1,0708	
9270,44	1,00474	
9300,07	1,06294	
9300,07	1,06291	
9300,07	1,06298	
9400,09	1,05509	
9400,1	1,0552	
9400,1	1,05508	
9500,12	1,0473	
9500,12	1,04731	
9500,12	1,04738	
9600,15	1,03971	
9600,14	1,03978	
9600,15	1,03973	
9699,98	1,03208	
9699,98	1,03216	
9699,98	1,0322	
9699,98	1,03221	
9800,01	1,02467	
9800,01	1,02481	
9800,01	1,02482	
9900,03	1,01741	
9900,03	1,01736	
9900,03	1,01741	
10000,1	1,01012	
10000,1	1,01013	
10000,1	1,01007	
10100,1	1,00281	
10100,1	1,0028	
10100,1	1,00289	
10200,1	0,995741	
10200,1	0,995664	
10200,1	0,995718	
10200,1	0,995724	
10300,1	0,988591	
10300,1	0,98863	
10300,1	0,98866	
10400,2	0,981633	
10400,2	0,981704	
10400,2	0,981759	
10500	0,974743	
10500	0,974868	
10500	0,974913	
10600	0,967994	
10600	0,968025	
10600	0,968114	
10684,2	0,905965	
10700	0,961305	
10700	0,961322	
10700	0,961333	
10800,1	0,954615	
10800,1	0,954702	
10800,1	0,954774	
10900,1	0,948151	
10900,1	0,948198	
10900,1	0,948157	
11000,1	0,941619	
11000,1	0,941658	
11000,1	0,941631	
11100,1	0,935251	
11100,1	0,935141	
11100,1	0,935224	
11100,1	0,935211	
11200,2	0,928794	
11200,2	0,928845	
11200,2	0,928837	
11300	0,922504	
11300	0,922592	
11300	0,922503	
11400	0,916305	
11400	0,916365	
11400	0,916329	
11500,1	0,910167	
11500,1	0,910267	
11500,1	0,910181	
11600,1	0,904148	
